"year","rank","name","artist","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","artist_popularity","artist_followers","duration_seconds","playlist","group"
"2012","40","The One That Got Away","Katy Perry",0.687,0.792,1,-4.023,0.0353,0.000802,0,0.2,0.864,133.962,81,30044755,227.333,"popular","popular"
"2012","41","Feel So Close - Radio Edit","Calvin Harris",0.707,0.924,7,-2.842,0.031,0.000972,0.00703,0.204,0.919,127.937,82,23403917,206.413,"popular","popular"
"2012","42","Someone Like You","Adele",0.556,0.319,9,-8.251,0.0281,0.893,0,0.0996,0.294,135.187,83,52181322,285.24,"popular","popular"
"2012","43","Scream","USHER",0.616,0.862,7,-5.18,0.0973,0.00117,0,0.179,0.569,127.992,77,10765551,234.693,"popular","popular"
"2012","44","Rack City","Tyga",0.929,0.339,1,-10.881,0.371,0.0373,1.96e-05,0.187,0.273,98.986,77,6882854,203.2,"popular","popular"
"2012","45","Domino","Jessie J",0.757,0.547,7,-4.573,0.0355,0.0115,0,0.0445,0.793,126.977,68,11641846,231.693,"popular","popular"
"2012","46","Gangnam Style (강남스타일)","PSY",0.727,0.937,11,-2.871,0.286,0.00417,0,0.091,0.749,132.067,60,1646354,219.493,"popular","popular"
"2012","47","International Love (feat. Chris Brown)","Pitbull",0.67,0.855,0,-3.035,0.0499,0.0124,0,0.335,0.648,120.05,80,10230243,227.28,"popular","popular"
"2012","48","Home","Phillip Phillips",0.606,0.826,0,-6.04,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,59,1106455,210.173,"popular","popular"
"2012","49","Without You (feat. Usher)","David Guetta",0.608,0.614,2,-3.727,0.0285,0.227,3.82e-06,0.157,0.402,127.885,85,26371352,208.133,"popular","popular"
"2012","50","Ass Back Home (feat. Neon Hitch)","Gym Class Heroes",0.716,0.838,10,-4.289,0.0513,0.134,0,0.148,0.646,130.034,66,1466506,222.213,"popular","popular"
"2013","1","Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis",0.781,0.526,6,-6.985,0.293,0.0619,0,0.0457,0.662,94.992,71,2617583,235.613,"popular","popular"
"2013","2","Blurred Lines","Robin Thicke",0.861,0.504,7,-7.707,0.0489,0.00412,1.78e-05,0.0783,0.881,120,60,1947366,263.053,"popular","popular"
"2013","3","Radioactive","Imagine Dragons",0.448,0.784,9,-3.686,0.0627,0.106,0.000108,0.668,0.236,136.245,84,50789190,186.813,"popular","popular"
"2013","4","Harlem Shake","Baauer",0.452,0.794,0,-5.151,0.0483,0.0111,0.00182,0.416,0.282,137.825,49,193487,196.664,"popular","popular"
"2013","5","Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",0.641,0.922,2,-4.457,0.0786,0.0291,0,0.0862,0.847,146.078,71,2617583,258.343,"popular","popular"
"2013","6","Mirrors","Justin Timberlake",0.574,0.512,5,-6.664,0.0503,0.234,0,0.0946,0.512,76.899,78,13381846,484.147,"popular","popular"
"2013","7","Just Give Me a Reason (feat. Nate Ruess)","P!nk",0.778,0.547,2,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,78,15995610,242.733,"popular","popular"
"2013","8","When I Was Your Man","Bruno Mars",0.612,0.28,0,-8.648,0.0434,0.932,0,0.088,0.387,72.795,86,51806934,213.827,"popular","popular"
"2013","9","Cruise","Florida Georgia Line",0.457,0.948,10,-3.364,0.0354,0.0191,0,0.0536,0.878,148,71,5411307,208.96,"popular","popular"
"2013","10","Roar","Katy Perry",0.671,0.771,7,-4.821,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,81,30044755,223.546,"popular","popular"
"2013","11","Locked out of Heaven","Bruno Mars",0.726,0.698,5,-4.165,0.0431,0.049,0,0.309,0.867,143.994,86,51806934,233.478,"popular","popular"
"2013","12","Ho Hey","The Lumineers",0.682,0.471,0,-9.182,0.0301,0.765,0,0.0908,0.421,79.907,76,5255133,163.133,"popular","popular"
"2013","13","Stay","Rihanna",0.621,0.31,9,-10.164,0.0283,0.945,6.12e-05,0.117,0.125,111.893,87,58187959,240.707,"popular","popular"
"2013","14","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk",0.794,0.811,6,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,78,9663552,248.413,"popular","popular"
"2013","15","Royals","Lorde",0.674,0.428,7,-9.504,0.122,0.121,0,0.132,0.337,84.878,74,9977647,190.185,"popular","popular"
"2013","16","I Knew You Were Trouble.","Taylor Swift",0.622,0.469,3,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,100,90904304,219.72,"popular","popular"
"2013","17","We Can't Stop","Miley Cyrus",0.613,0.622,1,-5.794,0.0334,0.00882,0,0.37,0.484,80.003,83,22470082,231.24,"popular","popular"
"2013","18","Wake Me Up","Avicii",0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,78,23134039,247.427,"popular","popular"
"2013","19","Suit & Tie (feat. Jay-Z)","Justin Timberlake",0.795,0.596,11,-3.799,0.219,0.103,0,0.164,0.357,101.985,78,13381846,326.28,"popular","popular"
"2013","20","Cups - Movie Version","Anna Kendrick",0.927,0.329,7,-13.676,0.156,0.554,2.87e-05,0.0302,0.791,129.998,62,343718,76.947,"popular","popular"
"2013","21","Holy Grail","JAY-Z",0.676,0.534,2,-6.901,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,81,8677391,338.413,"popular","popular"
"2013","22","Scream & Shout","will.i.am",0.772,0.685,5,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.033,71,4125582,283.4,"popular","popular"
"2013","23","Clarity","Zedd",0.509,0.781,8,-3.48,0.072,0.0398,0,0.0749,0.176,128,71,5973784,271.427,"popular","popular"
"2013","24","Sail","AWOLNATION",0.826,0.436,1,-9.583,0.0558,0.441,0.615,0.0964,0.272,119.051,59,2137228,259.093,"popular","popular"
"2013","25","Don't You Worry Child","Swedish House Mafia",0.632,0.88,2,-4.051,0.0463,0.0144,0.0021,0.118,0.338,129.007,73,3771858,403.493,"popular","popular"
"2013","26","Diamonds","Rihanna",0.564,0.71,11,-4.92,0.0461,0.00125,0,0.109,0.393,91.972,87,58187959,225.147,"popular","popular"
"2013","27","I Love It (feat. Charli XCX)","Icona Pop",0.711,0.906,8,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,63,710208,157.153,"popular","popular"
"2013","28","Safe And Sound","Capital Cities",0.655,0.819,0,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956,64,873806,192.79,"popular","popular"
"2013","29","Treasure","Bruno Mars",0.874,0.692,5,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,86,51806934,178.56,"popular","popular"
"2013","30","The Way","Ariana Grande",0.645,0.878,5,-3.208,0.113,0.294,0,0.076,0.862,82.324,86,94429673,227.027,"popular","popular"
"2013","31","Started From the Bottom","Drake",0.794,0.523,8,-7.829,0.161,0.0331,0,0.156,0.56,86.307,96,81262154,174.12,"popular","popular"
"2013","32","Come & Get It","Selena Gomez",0.546,0.787,7,-4.1,0.0517,0.0101,0.00021,0.0809,0.573,79.979,81,46125733,231.987,"popular","popular"
"2013","33","Hold On, We're Going Home","Drake",0.773,0.414,6,-7.436,0.0961,0.00411,3.4e-05,0.0733,0.289,99.993,96,81262154,227.88,"popular","popular"
"2013","34","Daylight","Maroon 5",0.656,0.674,7,-5.473,0.0269,0.00242,0,0.255,0.369,120.001,82,41512732,225.067,"popular","popular"
"2013","35","Feel This Moment (feat. Christina Aguilera)","Pitbull",0.673,0.758,7,-3.632,0.158,0.039,0,0.341,0.542,135.956,80,10230243,229.507,"popular","popular"
"2013","36","Applause","Lady Gaga",0.669,0.78,7,-4.287,0.053,0.0265,1.63e-06,0.143,0.738,139.945,82,28299686,212.333,"popular","popular"
"2013","37","One More Night","Maroon 5",0.716,0.821,5,-3.435,0.0314,0.0558,0,0.0844,0.618,92.997,82,41512732,219.547,"popular","popular"
"2013","38","Love Me","Lil Wayne",0.669,0.634,11,-6.476,0.0327,0.0125,0,0.0946,0.496,124.906,83,14116996,255.053,"popular","popular"
"2013","39","My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",0.558,0.924,9,-4.341,0.064,0.0271,3.32e-06,0.537,0.567,151.99,77,10319590,186.827,"popular","popular"
"2013","40","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky",0.853,0.693,1,-6.87,0.275,0.0239,0,0.11,0.662,95.967,79,12974690,233.787,"popular","popular"
"2013","41","Beauty And A Beat","Justin Bieber",0.602,0.843,0,-4.831,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,86,74369011,227.987,"popular","popular"
"2013","42","Same Love (feat. Mary Lambert)","Macklemore & Ryan Lewis",0.688,0.473,8,-9.059,0.167,0.716,4.46e-05,0.104,0.299,84.958,71,2617583,318.525,"popular","popular"
"2013","43","Sweet Nothing (feat. Florence Welch)","Calvin Harris",0.573,0.929,8,-3.942,0.109,0.197,0.000112,0.0567,0.582,127.934,82,23403917,212.56,"popular","popular"
"2013","44","Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix","Lana Del Rey",0.572,0.81,1,-5.791,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,88,29215333,214.912,"popular","popular"
"2013","45","Home","Phillip Phillips",0.606,0.826,0,-6.04,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,59,1106455,210.173,"popular","popular"
"2013","46","It's Time","Imagine Dragons",0.656,0.884,2,-4.748,0.0372,0.0162,0,0.144,0.86,105.009,84,50789190,240.307,"popular","popular"
"2013","47","Power Trip (feat. Miguel)","J. Cole",0.667,0.608,1,-7.054,0.216,0.324,0.000198,0.426,0.475,99.992,84,21758685,241.16,"popular","popular"
"2013","48","Girl On Fire (feat. Nicki Minaj) - Inferno Version","Alicia Keys",0.591,0.808,9,-5.943,0.288,0.0869,0.00396,0.147,0.337,92.864,75,11139281,270.72,"popular","popular"
"2013","49","Heart Attack","Demi Lovato",0.504,0.785,8,-4.802,0.104,0.0738,0,0.239,0.502,173.968,76,26215399,210.84,"popular","popular"
"2013","50","Love Somebody","Maroon 5",0.675,0.783,1,-6.284,0.0365,0.134,0,0.122,0.4,120.018,82,41512732,229.973,"popular","popular"
"2014","1","Happy","Pharrell Williams",0.792,0.439,8,-18.813,0.0602,0.726,0.887,0.0563,0.655,125.578,76,4287831,123.31,"popular","popular"
"2014","2","Dark Horse","Katy Perry",0.645,0.585,6,-6.122,0.0513,0.00314,0,0.165,0.353,131.931,81,30044755,215.672,"popular","popular"
"2014","3","All of Me","John Legend",0.422,0.264,8,-7.064,0.0322,0.922,0,0.132,0.331,119.93,73,6585724,269.56,"popular","popular"
"2014","4","Fancy","Iggy Azalea",0.912,0.716,10,-4.141,0.0697,0.0904,0,0.0491,0.377,94.981,65,6482261,199.938,"popular","popular"
"2014","5","Counting Stars","OneRepublic",0.664,0.705,1,-4.972,0.0382,0.0654,0,0.115,0.477,122.017,80,16379233,257.84,"popular","popular"
"2014","6","Talk Dirty (feat. 2 Chainz)","Jason Derulo",0.76,0.652,6,-7.321,0.232,0.0348,0,0.307,0.759,100.315,76,11921632,177.685,"popular","popular"
"2014","7","Rude","MAGIC!",0.773,0.758,1,-4.993,0.0381,0.0422,0,0.305,0.925,144.033,63,1320830,224.84,"popular","popular"
"2014","8","All About That Bass","Meghan Trainor",0.807,0.887,9,-3.726,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,74,14109201,187.92,"popular","popular"
"2014","9","Problem","Ariana Grande",0.66,0.805,1,-5.352,0.153,0.0192,8.83e-06,0.159,0.625,103.008,86,94429673,193.92,"popular","popular"
"2014","10","Stay With Me","Sam Smith",0.418,0.42,0,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094,82,23250437,172.724,"popular","popular"
"2014","11","Timber (feat. Ke$ha)","Pitbull",0.581,0.963,11,-4.087,0.0981,0.0295,0,0.139,0.788,129.992,80,10230243,204.16,"popular","popular"
"2014","12","Pompeii","Bastille",0.679,0.715,9,-6.383,0.0407,0.0755,0,0.271,0.571,127.435,71,5470784,214.148,"popular","popular"
"2014","13","Shake It Off","Taylor Swift",0.647,0.785,7,-5.414,0.165,0.0561,0,0.148,0.943,160.015,100,90904304,219.2,"popular","popular"
"2014","14","Am I Wrong","Nico & Vinz",0.729,0.675,8,-6.003,0.0312,0.175,1.58e-06,0.55,0.779,119.968,59,519579,245.867,"popular","popular"
"2014","15","Turn Down for What","DJ Snake",0.818,0.799,1,-4.1,0.156,0.00107,0.128,0.057,0.0815,100.014,74,8706500,213.733,"popular","popular"
"2014","16","The Monster","Eminem",0.781,0.853,1,-3.68,0.0715,0.0525,0,0.12,0.624,110.049,87,77851903,250.189,"popular","popular"
"2014","17","Say Something","A Great Big World",0.407,0.147,2,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,58,564630,229.4,"popular","popular"
"2014","18","Team","Lorde",0.69,0.578,6,-7.436,0.0929,0.167,0,0.305,0.416,99.961,74,9977647,193.059,"popular","popular"
"2014","19","Let Her Go","Passenger",0.479,0.545,7,-7.346,0.0688,0.365,0,0.0963,0.243,74.897,68,3242482,252.733,"popular","popular"
"2014","20","Royals","Lorde",0.674,0.428,7,-9.504,0.122,0.121,0,0.132,0.337,84.878,74,9977647,190.185,"popular","popular"
"2014","21","Let It Go - From ""Frozen""/Soundtrack Version","Idina Menzel",0.543,0.485,8,-6.85,0.0305,0.558,0,0.12,0.371,136.961,66,439138,223.84,"popular","popular"
"2014","22","Wake Me Up","Avicii",0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,78,23134039,247.427,"popular","popular"
"2014","23","Demons","Imagine Dragons",0.505,0.71,3,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,84,50789190,175.2,"popular","popular"
"2014","24","Story of My Life","One Direction",0.6,0.663,3,-5.802,0.0477,0.225,0,0.119,0.286,121.07,81,33663905,245.493,"popular","popular"
"2014","25","Chandelier","Sia",0.399,0.787,1,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,81,27097613,216.12,"popular","popular"
"2014","26","Black Widow","Iggy Azalea",0.743,0.72,11,-3.753,0.124,0.192,0.000386,0.109,0.519,163.99,65,6482261,209.423,"popular","popular"
"2014","27","Bang Bang","Jessie J",0.706,0.786,0,-3.417,0.091,0.26,0,0.38,0.751,150.028,68,11641846,199.387,"popular","popular"
"2014","28","Latch","Disclosure",0.729,0.735,1,-5.455,0.0919,0.0178,0.000193,0.089,0.544,121.986,69,2143135,255.867,"popular","popular"
"2014","29","Maps","Maroon 5",0.742,0.713,1,-5.522,0.0303,0.0205,0,0.059,0.879,120.032,82,41512732,189.96,"popular","popular"
"2014","30","Loyal (feat. Lil Wayne & Tyga)","Chris Brown",0.841,0.522,10,-5.963,0.049,0.0168,1.37e-06,0.188,0.616,99.059,84,20677224,264.947,"popular","popular"
"2014","31","Best Day Of My Life","American Authors",0.673,0.902,2,-2.392,0.0346,0.0591,0.000262,0.0558,0.538,100.012,63,1560385,194.24,"popular","popular"
"2014","32","Habits (Stay High)","Tove Lo",0.729,0.65,5,-3.539,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,71,3517325,209.16,"popular","popular"
"2014","33","Summer","Calvin Harris",0.596,0.856,4,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949,82,23403917,222.533,"popular","popular"
"2014","34","Boom Clap","Charli XCX",0.659,0.911,4,-2.28,0.0786,0.154,0.000304,0.191,0.576,91.999,74,3001510,169.866,"popular","popular"
"2014","35","Drunk in Love (feat. Jay-Z)","Beyoncé",0.583,0.621,5,-6.902,0.0479,0.00972,0.00106,0.181,0.399,140.036,83,36151208,323.48,"popular","popular"
"2014","36","Anaconda","Nicki Minaj",0.964,0.605,9,-6.223,0.179,0.0668,7.78e-06,0.214,0.646,129.994,84,29852166,260.24,"popular","popular"
"2014","37","Break Free","Ariana Grande",0.687,0.702,7,-5.324,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,86,94429673,214.84,"popular","popular"
"2014","38","Bailando - Spanish Version","Enrique Iglesias",0.723,0.777,7,-3.503,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,75,11232618,243.413,"popular","popular"
"2014","39","Burn","Ellie Goulding",0.559,0.777,1,-5.031,0.0432,0.31,0,0.105,0.329,87.016,77,12324407,231.212,"popular","popular"
"2014","40","Wiggle (feat. Snoop Dogg)","Jason Derulo",0.697,0.621,9,-6.886,0.25,0.0802,0,0.162,0.721,81.946,76,11921632,193.296,"popular","popular"
"2014","41","Rather Be (feat. Jess Glynne)","Clean Bandit",0.799,0.586,11,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97,71,5305036,227.833,"popular","popular"
"2014","42","Don't Tell 'Em","Jeremih",0.856,0.527,2,-5.225,0.0997,0.392,0,0.11,0.386,98.052,71,6560399,266.84,"popular","popular"
"2014","43","Show Me (feat. Chris Brown)","Kid Ink",0.711,0.508,7,-7.299,0.0502,0.0355,0,0.141,0.663,98.098,63,3014081,217.8,"popular","popular"
"2014","44","Wrecking Ball","Miley Cyrus",0.53,0.422,5,-6.262,0.0342,0.407,0,0.107,0.349,119.964,83,22470082,221.36,"popular","popular"
"2014","45","Not a Bad Thing","Justin Timberlake",0.308,0.563,0,-9.169,0.0719,0.527,4.58e-06,0.134,0.109,85.901,78,13381846,688.453,"popular","popular"
"2014","46","Roar","Katy Perry",0.671,0.771,7,-4.821,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,81,30044755,223.546,"popular","popular"
"2014","47","Ain't It Fun","Paramore",0.61,0.893,9,-3.681,0.0921,0.154,4.41e-05,0.021,0.673,104.031,76,8110768,296.52,"popular","popular"
"2014","48","The Man","Aloe Blacc",0.308,0.769,11,-7.256,0.065,0.0331,0,0.214,0.488,81.853,62,712194,254.88,"popular","popular"
"2014","49","This Is How We Roll","Florida Georgia Line",0.555,0.931,8,-2.969,0.0367,0.016,0,0.405,0.723,132.085,71,5411307,220.907,"popular","popular"
"2014","50","Classic","MKTO",0.72,0.791,1,-4.689,0.124,0.0384,0,0.157,0.756,102.071,63,1048969,175.427,"popular","popular"
"2015","1","Uptown Funk (feat. Bruno Mars)","Mark Ronson",0.856,0.609,0,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,71,1044035,269.667,"popular","popular"
"2015","2","Thinking out Loud","Ed Sheeran",0.781,0.445,2,-6.061,0.0295,0.474,0,0.184,0.591,78.998,86,115030062,281.56,"popular","popular"
"2015","3","See You Again (feat. Charlie Puth)","Wiz Khalifa",0.689,0.481,10,-7.503,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,78,11151051,229.526,"popular","popular"
"2015","4","Trap Queen","Fetty Wap",0.746,0.873,7,-3.803,0.128,0.0244,0,0.354,0.818,148.075,67,4550049,222.093,"popular","popular"
"2015","5","Sugar","Maroon 5",0.748,0.788,1,-7.055,0.0334,0.0591,0,0.0863,0.884,120.076,82,41512732,235.493,"popular","popular"
"2015","6","Shut Up and Dance","WALK THE MOON",0.578,0.866,1,-3.804,0.0619,0.00701,0,0.257,0.619,128.038,65,2111174,199.08,"popular","popular"
"2015","7","Blank Space","Taylor Swift",0.76,0.703,5,-5.412,0.054,0.103,0,0.0913,0.57,95.997,100,90904304,231.827,"popular","popular"
"2015","8","Watch Me (Whip / Nae Nae)","Silentó",0.821,0.759,8,-8.541,0.121,0.247,0,0.321,0.962,140.01,47,225789,185.143,"popular","popular"
"2015","9","Earned It (Fifty Shades Of Grey)","The Weeknd",0.658,0.282,2,-8.282,0.0353,0.433,0,0.0741,0.39,119.757,93,73758985,277.724,"popular","popular"
"2015","10","Cheerleader (Felix Jaehn Remix) - Radio Edit","OMI",0.782,0.685,4,-6.237,0.0309,0.166,1.18e-05,0.16,0.603,118.016,61,615236,180.566,"popular","popular"
"2015","11","Can't Feel My Face","The Weeknd",0.705,0.769,9,-5.526,0.0425,0.113,0,0.105,0.583,107.949,93,73758985,213.52,"popular","popular"
"2015","12","Love Me Like You Do","Ellie Goulding",0.489,0.597,5,-6.633,0.0292,0.27,0,0.105,0.324,95.012,77,12324407,253.52,"popular","popular"
"2015","13","Take Me To Church","Hozier",0.566,0.664,4,-5.303,0.0464,0.634,0,0.116,0.437,128.945,80,6052247,241.688,"popular","popular"
"2015","14","Bad Blood","Taylor Swift",0.652,0.802,7,-6.114,0.181,0.0871,6.45e-06,0.148,0.295,170.157,100,90904304,211.933,"popular","popular"
"2015","15","Lean On (feat. MØ & DJ Snake)","Major Lazer",0.723,0.809,7,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,72,6318526,176.561,"popular","popular"
"2015","16","Want to Want Me","Jason Derulo",0.775,0.68,0,-5.508,0.0629,0.00906,0,0.109,0.656,114.025,76,11921632,207.719,"popular","popular"
"2015","17","Shake It Off","Taylor Swift",0.647,0.8,7,-5.384,0.165,0.0647,0,0.334,0.942,160.078,100,90904304,219.2,"popular","popular"
"2015","18","Where Are Ü Now (with Justin Bieber)","Jack Ü",0.432,0.781,4,-4.038,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,56,1082717,250.286,"popular","popular"
"2015","19","Fight Song","Rachel Platten",0.564,0.714,7,-4.987,0.129,0.0549,0,0.155,0.33,175.924,59,887570,204.013,"popular","popular"
